EGENDER,RHISPANIC,RRACE,EEDUC,MS,INCOME,ONLINE,PICK-UP,IN-STORE,RFID-NFC,CASH,AVOID RESTR,RESUME RESTR,NUMADLT,NUMKID
MALE,NO HISPANIC,RACE_ASIAN,GRADUATE,MARRIED,LEVEL0,+ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,DIVOCED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL7,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL2,LEVEL2
FEMALE,HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_BLACK,SOME_COLLEGE,NEVER MARRIED,LEVEL5,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,WIDOWED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,HIGH_SCHOOL,MARRIED,LEVEL0,+ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,WIDOWED,LEVEL0,-ONLINE,-PICKUP,+INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_BLACK,GRADUATE,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,ASSOCIATE,MARRIED,LEVEL4,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,MARRIED,LEVEL4,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL3,LEVEL1
FEMALE,NO HISPANIC,RACE_COMBINATION,SOME_COLLEGE,DIVOCED,LEVEL1,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_ASIAN,GRADUATE,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL8,-ONLINE,+PICK-UP,+INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL8,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_BLACK,HIGH_SCHOOL,NEVER MARRIED,LEVEL3,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL7,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,MARRIED,LEVEL0,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_BLACK,GRADUATE,MARRIED,LEVEL6,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_BLACK,ASSOCIATE,NEVER MARRIED,LEVEL1,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL6,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,+CASH,+AVOID RESTR,+RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL6,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,GRADUATE,NEVER MARRIED,LEVEL0,+ONLINE,+PICK-UP,+INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,WIDOWED,LEVEL4,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,DIVOCED,LEVEL0,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL0,+ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL6,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_BLACK,GRADUATE,DIVOCED,LEVEL4,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL6,-ONLINE,-PICKUP,+INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_BLACK,BACHELOR,NEVER MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_COMBINATION,BACHELOR,MARRIED,LEVEL6,-ONLINE,-PICKUP,+INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL6,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL8,+ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_BLACK,GRADUATE,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL2,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL7,+ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL5,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,HISPANIC,RACE_WHITE,ASSOCIATE,MARRIED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,DIVOCED,LEVEL4,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,HIGH_SCHOOL,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,HISPANIC,RACE_COMBINATION,LESS_HIGH_SCHOOL,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL4,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,DIVOCED,LEVEL1,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,ASSOCIATE,MARRIED,LEVEL6,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,HISPANIC,RACE_WHITE,HIGH_SCHOOL,NEVER MARRIED,LEVEL1,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL2
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL3,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_ASIAN,SOME_COLLEGE,DIVOCED,LEVEL3,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_ASIAN,GRADUATE,NEVER MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_BLACK,GRADUATE,NEVER MARRIED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,HIGH_SCHOOL,MARRIED,LEVEL5,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL7,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_BLACK,SOME_COLLEGE,NEVER MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,WIDOWED,LEVEL0,-ONLINE,-PICKUP,+INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,SOME_COLLEGE,NEVER MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL7,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,ASSOCIATE,MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL7,+ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL4,+ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,GRADUATE,MARRIED,LEVEL7,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,GRADUATE,DIVOCED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,HISPANIC,RACE_ASIAN,SOME_COLLEGE,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL5,+ONLINE,+PICK-UP,-INSTORE,-CONTACTLESS,+CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL1,+ONLINE,-PICKUP,+INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_BLACK,SOME_HIGH_SCHOOL,NEVER MARRIED,LEVEL1,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,DIVOCED,LEVEL4,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL8,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL7,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_COMBINATION,SOME_COLLEGE,MARRIED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,HISPANIC,RACE_COMBINATION,SOME_COLLEGE,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL0,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_BLACK,GRADUATE,NEVER MARRIED,LEVEL2,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,GRADUATE,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,GRADUATE,NEVER MARRIED,LEVEL6,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,DIVOCED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL8,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,+RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL5,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL8,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL1,LEVEL2
MALE,NO HISPANIC,RACE_ASIAN,GRADUATE,MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL6,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,WIDOWED,LEVEL5,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL5,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,NEVER MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,+RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,0.0,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL7,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL5,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL8,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_BLACK,GRADUATE,MARRIED,LEVEL6,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,NO HISPANIC,RACE_WHITE,HIGH_SCHOOL,DIVOCED,LEVEL3,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL6,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_WHITE,HIGH_SCHOOL,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,MARRIED,LEVEL4,-ONLINE,-PICKUP,+INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
